hotel_name,Dist_from_the_beach,Dist_from_the_center,price,opinion_number,location_score,grade,Address,team_score,comfort_score,score_internet,facility_spec,score_equal_price,cleanliness_score
סאן סיטי,400.0,800.0,901,453,7.2,7.2,"יונה הנביא 41, תל אביב, 63325, ישראל",8.5,7.3,7.7,6.9,7.4,7.8
מלון בוטיק דיזנגוף אווניו,550.0,450.0,1382,1400,8.5,8.5,"דיזנגוף 133, תל אביב, 6346102, ישראל",9.5,8.5,8.9,8.2,8.2,8.6
מלון BY14 TLV,300.0,700.0,1194,2007,8.4,8.4,"בן יהודה 14, תל אביב, 63802, ישראל",8.9,8.6,9.0,8.3,8.0,8.6
סי נט מבית AFI HOTELS,150.0,800.0,780,1307,7.3,7.3,"נס ציונה 6, תל אביב, 63904, ישראל",8.4,7.4,8.3,7.1,7.6,7.4
מלון אינדיגו תל אביב - מתחם הבורסה ליהלומים,3000.0,2900.0,1034,649,7.5,7.5,"5  אהליאב, תל אביב, 61999 , ישראל",8.2,8.2,7.7,7.7,7.3,8.2
Mulan TLV Hotel,1400.0,2400.0,1114,163,8.9,8.9,"3 Mesilat ha-Olim Street, תל אביב, 6604001, ישראל",9.4,9.0,9.0,8.9,9.2,9.1
סלינה חוף תל אביב,0.0,2100.0,913,1568,8.2,8.2,"שנקר 2, תל אביב, 67654, ישראל",8.6,8.3,8.6,8.3,8.0,8.3
פלורנטין האוס,900.0,2500.0,1032,1752,9.0,9.0,"פלורנטין 6, תל אביב, 6608307, ישראל",9.5,9.2,9.2,8.9,8.9,9.4
סלינה פרישמן תל אביב,0.0,600.0,839,694,7.9,7.9,"הירקון 106, תל אביב, 6343231, ישראל",8.8,8.0,9.0,7.9,7.9,8.1
דירות רוק 130,600.0,450.0,1168,634,8.5,8.5,"דיזנגוף 130, תל אביב, 64397, ישראל",8.7,8.6,9.1,8.4,8.3,8.6
"בראון ברוט Seafront, מבית מלונות בראון",0.0,1900.0,1253,2798,8.4,8.4,"יחזקאל קויפמן 6, תל אביב, 6801298, ישראל",8.8,8.6,8.7,8.4,8.4,8.7
דיזינגוף אין אפרטמנטס,550.0,900.0,1030,713,8.3,8.3,"דיזינגוף 190, תל אביב, 6346229, ישראל",9.0,8.4,9.4,8.2,8.3,8.3
Abraham Tel Aviv,1400.0,1700.0,1055,2824,8.4,8.4,"21 Levontin Street, תל אביב, 6511604, ישראל",9.0,8.3,8.7,8.4,8.4,8.4
Link Hotel & Hub מרשת מלונות דן,2200.0,1500.0,1320,1161,8.6,8.6,"שדרות שאול המלך 39 , תל אביב, 9999999, ישראל",9.1,8.9,8.9,8.7,8.4,9.0
Beach Boutique Hotel And Spa By TLV hotels,0.0,600.0,1247,2533,8.3,8.3,"Hayarkon St.100, תל אביב, 6343265, ישראל",9.0,8.5,8.5,8.3,8.4,8.5
מלון סבוי תל אביב,100.0,1100.0,1480,1331,8.4,8.4,"גאולה 5, תל אביב, 63304, ישראל",9.2,8.6,9.0,8.2,8.1,8.7
קראון פלזה סיטי סנטר תל אביב,2300.0,1600.0,1611,3010,8.6,8.6,"דרך מנחם בגין 136, תל אביב, 67011, ישראל",8.9,9.1,8.8,8.5,8.3,9.0
H7 TLV,300.0,500.0,1047,1096,8.2,8.2,"Ben Yehuda Street 77, תל אביב, 6343503, ישראל",9.3,8.3,8.9,8.1,8.2,8.3
הוטל 75 מרשת מלונות פרימה ,800.0,1200.0,1300,1328,8.6,8.6,"אלנבי 75, תל אביב, 6513413, ישראל",9.2,8.9,8.9,8.7,8.4,9.1
מלון בוטיק אולטרה תל אביב,0.0,700.0,1350,721,8.7,8.7,"הירקון 78, תל אביב, 6343235, ישראל",9.3,9.0,9.0,8.7,8.5,9.1
מלון פרימה סיטי,0.0,500.0,1400,283,8.6,8.6,"מאפו 9, תל אביב, 63577, ישראל",9.0,8.7,8.4,8.4,8.4,8.8
מלון אמבסי תל אביב,0.0,700.0,1355,2760,8.6,8.6,"Shalom Aleichem 5, Corner of Hayarkon 74, תל אביב, 63432 , ישראל",9.2,8.9,9.2,8.5,8.4,8.9
Assemblage Boutique,500.0,900.0,1483,510,8.9,8.9,"48 Allenby Street, תל אביב, 6382202, ישראל",9.3,9.1,9.1,8.9,8.6,9.1
מלון אברטל סוויטס,0.0,1100.0,1591,740,8.6,8.6,"גאולה 3, תל אביב, 63304, ישראל",9.5,8.8,9.0,8.2,8.3,8.8
פרימה תל אביב,0.0,600.0,1500,1422,8.7,8.7,"הירקון 105, תל אביב, 63432, ישראל",9.4,8.8,8.9,8.5,8.3,8.8
